round,winner,year,player1,player2,secPointWon1,secPointWon2,return1,return2,total1,total2
First,Michael Llodra,2011,Michael Llodra,Juan Ignacio Chela,50,42,43,33,121,100
First,David Nalbandian,2011,David Nalbandian,Lleyton Hewitt,51,47,38,39,193,193
First,Richard Berankis,2011,Richard Berankis,Marinko Matosevic,58,48,44,33,101,80
First,Michael Russell,2011,Michael Russell,Matthew Ebden,44,40,43,39,146,134
First,David Ferrer,2011,David Ferrer,Jarkko Nieminen,56,48,41,27,107,86
First,Robin Soderling,2011,Robin Soderling,Potito Starace,64,31,44,22,89,59
First,Gilles Muller,2011,Gilles Muller,Simon Stadler,56,59,37,30,109,90
First,Jan Hernych,2011,Jan Hernych,Denis Istomin,65,51,40,34,125,109
First,Thomaz Bellucci,2011,Thomaz Bellucci,Ricardo Mello,40,56,41,38,174,166
First,Benjamin Becker,2011,Benjamin Becker,Ernests Gulbis,54,33,35,27,101,84
First,Alexandr Dolgopolov,2011,Alexandr Dolgopolov,Mikhail Kukushkin,57,34,48,27,94,60
First,Andreas Seppi,2011,Andreas Seppi,Arnaud Clement,48,52,39,36,158,153
First,Jo-Wilfried Tsonga,2011,Jo-Wilfried Tsonga,Philipp Petzschner,43,41,39,39,153,142
First,Jurgen Melzer,2011,Jurgen Melzer,Vincent Millot,61,56,47,30,102,73
First,Pere Riba,2011,Pere Riba,Carsten Ball,61,45,31,36,126,138
First,Juan Martin Del Potro,2011,Juan Martin Del Potro,Dudi Sela,49,56,35,33,108,100
First,Marcos Baghdatis,2011,Marcos Baghdatis,Grega Zemlja,55,51,41,34,157,142
First,Guillermo Garcia-Lopez,2011,Guillermo Garcia-Lopez,Michael Berrer,46,42,43,36,129,113
First,Eduardo Schwank,2011,Eduardo Schwank,Leonardo Mayer,79,40,47,20,90,55
First,Illya Marchenko,2011,Illya Marchenko,Ruben Ramirez-Hidalgo,46,35,52,36,99,73
First,Andy Murray,2011,Andy Murray,Karol Beck,50,35,44,28,86,63
